limite_credito,sexo,escolaridade,estado_civil,idade,status_pag_set,status_pag_ago,status_pag_jul,status_pag_jun,status_pag_mai,status_pag_abr,fatura_set,fatura_ago,fatura_jul,fatura_jun,fatura_mai,fatura_abr,pagamento_set,pagamento_ago,pagamento_jul,pagamento_jun,pagamento_mai,pagamento_abr,inadimplente,media_fatura,media_pagamento,taxa_utilizacao,qtd_atrasos,faixa_etaria,perfil_risco,cluster_kmeans,cluster_hierarquico
200000.0,Feminino,Ensino Médio,Solteiro,34,0,0,2,0,0,-1,11073.0,9787.0,5535.0,2513.0,1828.0,3731.0,2306.0,12.0,50.0,300.0,3738.0,66.0,0,5744.5,1078.67,0.0287,1,26–35,Médio,1,
260000.0,Feminino,Pós-graduação,Solteiro,51,-1,-1,-1,-1,-1,2,12261.0,21670.0,9966.0,8517.0,22287.0,13668.0,21818.0,9966.0,8583.0,22301.0,0.0,3640.0,0,14728.17,11051.33,0.0566,1,46–55,Médio,1,
630000.0,Feminino,Graduação,Solteiro,41,-1,0,-1,-1,-1,-1,12137.0,6500.0,6500.0,6500.0,6500.0,2870.0,1000.0,6500.0,6500.0,6500.0,2870.0,0.0,0,6834.5,3895.0,0.0108,0,36–45,Baixo,1,
70000.0,Masculino,Graduação,Solteiro,30,1,2,2,0,0,2,65802.0,67369.0,65701.0,66782.0,36137.0,36894.0,3200.0,0.0,3000.0,3000.0,1500.0,0.0,1,56447.5,1783.33,0.8064,4,26–35,Alto,3,
250000.0,Masculino,Pós-graduação,Solteiro,29,0,0,0,0,0,0,70887.0,67060.0,63561.0,59696.0,56875.0,55512.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,62265.17,3000.0,0.2491,0,26–35,Baixo,1,
50000.0,Feminino,Ensino Médio,Outros,23,1,2,0,0,0,0,50614.0,29173.0,28116.0,28771.0,29531.0,30211.0,0.0,1500.0,1100.0,1200.0,1300.0,1100.0,0,32736.0,1033.33,0.6547,2,Até 25,Médio,0,
20000.0,Masculino,Pós-graduação,Solteiro,24,0,0,2,2,2,2,15376.0,18010.0,17428.0,18338.0,17905.0,19104.0,3200.0,0.0,1500.0,0.0,1650.0,0.0,1,17693.5,1058.33,0.8847,4,Até 25,Alto,3,
320000.0,Masculino,Pós-graduação,Casado,49,0,0,0,-1,-1,-1,253286.0,246536.0,194663.0,70074.0,5856.0,195599.0,10358.0,10000.0,75940.0,20000.0,195599.0,50000.0,0,161002.33,60316.17,0.5031,0,46–55,Médio,2,0.0
360000.0,Feminino,Pós-graduação,Casado,49,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,46–55,Médio,1,
180000.0,Feminino,Pós-graduação,Solteiro,29,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,26–35,Médio,1,
130000.0,Feminino,Ensino Médio,Solteiro,39,0,0,0,0,0,-1,38358.0,27688.0,24489.0,20616.0,11802.0,930.0,3000.0,1537.0,1000.0,2000.0,930.0,33764.0,0,20647.17,7038.5,0.1588,0,36–45,Baixo,1,
120000.0,Feminino,Graduação,Casado,39,-1,-1,-1,-1,-1,-1,316.0,316.0,316.0,0.0,632.0,316.0,316.0,316.0,0.0,632.0,316.0,0.0,1,316.0,263.33,0.0026,0,36–45,Baixo,1,
70000.0,Feminino,Graduação,Solteiro,26,2,0,0,2,2,2,41087.0,42445.0,45020.0,44006.0,46905.0,46012.0,2007.0,3582.0,0.0,3601.0,0.0,1820.0,1,44245.83,1835.0,0.6321,4,26–35,Alto,3,
450000.0,Feminino,Pós-graduação,Casado,40,-2,-2,-2,-2,-2,-2,5512.0,19420.0,1473.0,560.0,0.0,0.0,19428.0,1473.0,560.0,0.0,0.0,1128.0,1,4494.17,3764.83,0.01,0,36–45,Baixo,1,
90000.0,Masculino,Pós-graduação,Solteiro,23,0,0,0,-1,0,0,4744.0,7070.0,0.0,5398.0,6360.0,8292.0,5757.0,0.0,5398.0,1200.0,2045.0,2000.0,0,5310.67,2733.33,0.059,0,Até 25,Baixo,1,
50000.0,Masculino,Ensino Médio,Solteiro,23,0,0,0,0,0,0,47620.0,41810.0,36023.0,28967.0,29829.0,30046.0,1973.0,1426.0,1001.0,1432.0,1062.0,997.0,0,35715.83,1315.17,0.7143,0,Até 25,Médio,0,
60000.0,Masculino,Pós-graduação,Solteiro,27,1,-2,-1,-1,-1,-1,-109.0,-425.0,259.0,-57.0,127.0,-189.0,0.0,1000.0,0.0,500.0,0.0,1000.0,1,-65.67,416.67,0.0,1,26–35,Médio,1,
50000.0,Feminino,Ensino Médio,Solteiro,30,0,0,0,0,0,0,22541.0,16138.0,17163.0,17878.0,18931.0,19617.0,1300.0,1300.0,1000.0,1500.0,1000.0,1012.0,0,18711.33,1185.33,0.3742,0,26–35,Baixo,0,
50000.0,Feminino,Ensino Médio,Casado,47,-1,-1,-1,-1,-1,-1,650.0,3415.0,3416.0,2040.0,30430.0,257.0,3415.0,3421.0,2044.0,30430.0,257.0,0.0,0,6701.33,6594.5,0.134,0,46–55,Baixo,1,
50000.0,Masculino,Pós-graduação,Solteiro,26,0,0,0,0,0,0,15329.0,16575.0,17496.0,17907.0,18375.0,11400.0,1500.0,1500.0,1000.0,1000.0,1600.0,0.0,0,16180.33,1100.0,0.3236,0,26–35,Baixo,0,
230000.0,Feminino,Pós-graduação,Solteiro,27,-1,-1,-1,-1,-1,-1,16646.0,17265.0,13266.0,15339.0,14307.0,36923.0,17270.0,13281.0,15339.0,14307.0,37292.0,0.0,0,18957.67,16248.17,0.0824,0,26–35,Baixo,1,
50000.0,Masculino,Graduação,Solteiro,33,2,0,0,0,0,0,30518.0,29618.0,22102.0,22734.0,23217.0,23680.0,1718.0,1500.0,1000.0,1000.0,1000.0,716.0,1,25311.5,1155.67,0.5062,1,26–35,Médio,0,
100000.0,Masculino,Pós-graduação,Solteiro,32,0,0,0,0,0,0,93036.0,84071.0,82880.0,80958.0,78703.0,75589.0,3023.0,3511.0,3302.0,3204.0,3200.0,2504.0,0,82539.5,3124.0,0.8254,0,26–35,Alto,0,
500000.0,Feminino,Graduação,Casado,54,-2,-2,-2,-2,-2,-2,10929.0,4152.0,22722.0,7521.0,71439.0,8981.0,4152.0,22827.0,7521.0,71439.0,981.0,51582.0,0,20957.33,26417.0,0.0419,0,46–55,Baixo,1,
500000.0,Masculino,Pós-graduação,Casado,58,-2,-2,-2,-2,-2,-2,13709.0,5006.0,31130.0,3180.0,0.0,5293.0,5006.0,31178.0,3180.0,0.0,5293.0,768.0,0,9719.67,7570.83,0.0194,0,Acima de 55,Baixo,1,2.0
160000.0,Masculino,Pós-graduação,Solteiro,30,-1,-1,-2,-2,-2,-1,30265.0,-131.0,-527.0,-923.0,-1488.0,-1884.0,131.0,396.0,396.0,565.0,792.0,0.0,0,4218.67,380.0,0.0264,0,26–35,Baixo,1,2.0
280000.0,Masculino,Graduação,Casado,40,0,0,0,0,0,0,186503.0,181328.0,180422.0,170410.0,173901.0,177413.0,8026.0,8060.0,6300.0,6400.0,6400.0,6737.0,0,178329.5,6987.17,0.6369,0,36–45,Médio,2,
60000.0,Feminino,Graduação,Solteiro,22,0,0,0,0,0,-1,15054.0,9806.0,11068.0,6026.0,-28335.0,18660.0,1500.0,1518.0,2043.0,0.0,47671.0,617.0,0,5379.83,8891.5,0.0897,0,Até 25,Baixo,1,
50000.0,Masculino,Pós-graduação,Solteiro,25,1,-1,-1,-2,-2,-2,0.0,780.0,0.0,0.0,0.0,0.0,780.0,0.0,0.0,0.0,0.0,0.0,1,130.0,130.0,0.0026,1,Até 25,Médio,1,
280000.0,Masculino,Pós-graduação,Solteiro,31,-1,-1,2,-1,0,-1,498.0,9075.0,4641.0,9976.0,17976.0,9477.0,9075.0,0.0,9976.0,8000.0,9525.0,781.0,0,8607.17,6226.17,0.0307,1,26–35,Médio,1,
360000.0,Masculino,Pós-graduação,Solteiro,33,0,0,0,0,0,0,218668.0,221296.0,206895.0,628699.0,195969.0,179224.0,10000.0,7000.0,6000.0,188840.0,28000.0,4000.0,0,275125.17,40640.0,0.7642,0,26–35,Médio,2,
70000.0,Feminino,Pós-graduação,Solteiro,25,0,0,0,0,0,0,67521.0,66999.0,63949.0,63699.0,64718.0,65970.0,3000.0,4500.0,4042.0,2500.0,2800.0,2500.0,0,65476.0,3223.67,0.9354,0,Até 25,Alto,0,
10000.0,Masculino,Graduação,Solteiro,22,0,0,0,0,0,0,1877.0,3184.0,6003.0,3576.0,3670.0,4451.0,1500.0,2927.0,1000.0,300.0,1000.0,500.0,0,3793.5,1204.5,0.3794,0,Até 25,Baixo,0,
140000.0,Feminino,Graduação,Casado,37,0,0,0,0,0,0,59504.0,61544.0,62925.0,64280.0,67079.0,69802.0,3000.0,3000.0,3000.0,4000.0,4000.0,3000.0,0,64189.0,3333.33,0.4585,0,36–45,Baixo,0,2.0
40000.0,Feminino,Pós-graduação,Solteiro,30,0,0,0,2,0,0,18927.0,21295.0,25921.0,25209.0,26636.0,29197.0,3000.0,5000.0,0.0,2000.0,3000.0,0.0,0,24530.83,2166.67,0.6133,1,26–35,Médio,0,
210000.0,Masculino,Pós-graduação,Solteiro,29,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,26–35,Baixo,1,
20000.0,Feminino,Pós-graduação,Solteiro,22,0,0,2,-1,0,0,14028.0,16484.0,15800.0,16341.0,16675.0,0.0,3000.0,0.0,16741.0,334.0,0.0,0.0,1,13221.33,3345.83,0.6611,1,Até 25,Médio,0,3.0
150000.0,Feminino,Outros,Solteiro,46,0,0,-1,0,0,-2,4463.0,3034.0,1170.0,1170.0,0.0,0.0,1013.0,1170.0,0.0,0.0,0.0,0.0,1,1639.5,363.83,0.0109,0,46–55,Baixo,1,
380000.0,Masculino,Graduação,Solteiro,32,-1,-1,-1,-1,-1,-1,22401.0,21540.0,15134.0,32018.0,11849.0,11873.0,21540.0,15138.0,24677.0,11851.0,11875.0,8251.0,0,19135.83,15555.33,0.0504,0,26–35,Baixo,1,
20000.0,Masculino,Pós-graduação,Solteiro,24,0,0,0,0,0,0,17447.0,18479.0,19476.0,19865.0,20480.0,20063.0,1318.0,1315.0,704.0,928.0,912.0,1069.0,0,19301.67,1041.0,0.9651,0,Até 25,Alto,0,
70000.0,Masculino,Ensino Médio,Solteiro,42,1,2,2,2,2,0,37042.0,36171.0,38355.0,39423.0,38659.0,39362.0,0.0,3100.0,2000.0,0.0,1500.0,1500.0,1,38168.67,1350.0,0.5453,5,36–45,Alto,3,
100000.0,Feminino,Ensino Médio,Outros,43,0,0,0,0,0,0,61559.0,51163.0,43824.0,39619.0,35762.0,33258.0,2000.0,1606.0,1500.0,2000.0,1500.0,1000.0,0,44197.5,1601.0,0.442,0,36–45,Baixo,0,
310000.0,Feminino,Graduação,Casado,49,-2,-2,-2,-2,-2,-2,13465.0,7867.0,7600.0,11185.0,3544.0,464.0,7875.0,7600.0,11185.0,3544.0,464.0,0.0,0,7354.17,5111.33,0.0237,0,46–55,Baixo,1,2.0
180000.0,Feminino,Pós-graduação,Solteiro,25,1,2,0,0,0,0,41402.0,41742.0,42758.0,43510.0,44420.0,45319.0,1300.0,2010.0,1762.0,1762.0,1790.0,1622.0,0,43191.83,1707.67,0.24,2,Até 25,Médio,1,
150000.0,Feminino,Pós-graduação,Solteiro,29,2,0,0,0,0,0,46224.0,34993.0,31434.0,26518.0,21042.0,16540.0,1600.0,1718.0,1049.0,1500.0,2000.0,5000.0,0,29458.5,2144.5,0.1964,1,26–35,Médio,1,
500000.0,Feminino,Pós-graduação,Casado,45,-2,-2,-2,-2,-2,-2,1905.0,3640.0,162.0,0.0,151.0,2530.0,3640.0,162.0,0.0,151.0,2530.0,0.0,0,1398.0,1080.5,0.0028,0,36–45,Baixo,1,
180000.0,Feminino,Ensino Médio,Casado,34,0,0,0,-1,-1,-1,16386.0,15793.0,8441.0,7142.0,-679.0,8321.0,8500.0,1500.0,7500.0,679.0,9000.0,2000.0,0,9234.0,4863.17,0.0513,0,26–35,Baixo,1,
180000.0,Feminino,Graduação,Casado,34,0,0,0,0,0,0,175886.0,173440.0,172308.0,168608.0,132202.0,129918.0,8083.0,7296.0,5253.0,4814.0,4816.0,3800.0,0,158727.0,5677.0,0.8818,0,26–35,Alto,0,
200000.0,Feminino,Pós-graduação,Solteiro,34,-1,3,2,2,2,2,1587.0,1098.0,782.0,1166.0,700.0,1414.0,0.0,0.0,700.0,0.0,1200.0,0.0,0,1124.5,316.67,0.0056,5,26–35,Alto,3,
400000.0,Feminino,Graduação,Casado,29,0,0,0,0,0,0,400134.0,398857.0,404205.0,360199.0,356656.0,364089.0,17000.0,15029.0,30000.0,12000.0,12000.0,23000.0,0,380690.0,18171.5,0.9517,0,26–35,Alto,2,
500000.0,Feminino,Ensino Médio,Casado,28,0,0,0,0,0,0,22848.0,23638.0,18878.0,14937.0,13827.0,15571.0,1516.0,1300.0,1000.0,1000.0,2000.0,2000.0,1,18283.17,1469.33,0.0366,0,26–35,Baixo,1,
70000.0,Masculino,Graduação,Casado,39,0,0,0,0,0,-1,70800.0,72060.0,69938.0,16518.0,14096.0,830.0,4025.0,2095.0,1000.0,2000.0,3000.0,0.0,0,40707.0,2020.0,0.5815,0,36–45,Médio,0,
50000.0,Masculino,Pós-graduação,Solteiro,29,2,2,2,2,2,2,24987.0,24300.0,26591.0,25865.0,27667.0,28264.0,0.0,2700.0,0.0,2225.0,1200.0,0.0,1,26279.0,1020.83,0.5256,6,26–35,Alto,3,
50000.0,Feminino,Graduação,Casado,46,0,0,0,-2,-2,-2,28718.0,29166.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,1,9647.33,166.67,0.1929,0,46–55,Baixo,1,
130000.0,Feminino,Graduação,Casado,51,-1,-1,-2,-2,-1,-1,99.0,0.0,0.0,0.0,2353.0,0.0,0.0,0.0,0.0,2353.0,0.0,0.0,0,408.67,392.17,0.0031,0,46–55,Baixo,1,
200000.0,Masculino,Pós-graduação,Casado,57,-2,-2,-2,-1,2,2,152519.0,148751.0,144076.0,8174.0,8198.0,7918.0,0.0,0.0,8222.0,300.0,0.0,1000.0,1,78272.67,1587.0,0.3914,2,Acima de 55,Médio,1,
10000.0,Masculino,Graduação,Casado,56,2,2,2,0,0,0,2097.0,4193.0,3978.0,4062.0,4196.0,4326.0,2300.0,0.0,150.0,200.0,200.0,160.0,1,3808.67,501.67,0.3809,3,Acima de 55,Alto,3,
210000.0,Feminino,Pós-graduação,Solteiro,30,2,-1,-1,-1,-1,-1,300.0,300.0,1159.0,2280.0,300.0,4250.0,300.0,1159.0,2280.0,300.0,4250.0,909.0,0,1431.5,1533.0,0.0068,1,26–35,Médio,1,
130000.0,Feminino,Ensino Médio,Solteiro,29,1,-2,-2,-1,2,-1,-190.0,-9850.0,-9850.0,10311.0,10161.0,7319.0,0.0,0.0,20161.0,0.0,7319.0,13899.0,0,1316.83,6896.5,0.0101,2,26–35,Médio,1,
20000.0,Masculino,Outros,Solteiro,22,2,0,0,0,0,0,18565.0,17204.0,17285.0,18085.0,11205.0,5982.0,0.0,1200.0,1000.0,500.0,1000.0,0.0,0,14721.0,616.67,0.736,1,Até 25,Médio,0,
80000.0,Masculino,Pós-graduação,Solteiro,31,-1,-1,-1,-1,-1,-1,780.0,0.0,390.0,390.0,390.0,390.0,0.0,390.0,390.0,390.0,390.0,390.0,0,390.0,325.0,0.0049,0,26–35,Baixo,1,
320000.0,Masculino,Graduação,Solteiro,29,2,2,2,2,2,2,58267.0,59246.0,60184.0,58622.0,62307.0,63526.0,2500.0,2500.0,0.0,4800.0,2400.0,1600.0,1,60358.67,2300.0,0.1886,6,26–35,Alto,3,
200000.0,Feminino,Graduação,Casado,32,-1,-1,-1,-1,2,-1,9076.0,5787.0,-684.0,5247.0,3848.0,3151.0,5818.0,15.0,9102.0,17.0,3165.0,1395.0,0,4404.17,3252.0,0.022,1,26–35,Médio,1,
290000.0,Feminino,Pós-graduação,Solteiro,37,1,-2,-1,-1,-1,-1,0.0,0.0,3155.0,0.0,2359.0,0.0,0.0,3155.0,0.0,2359.0,0.0,0.0,0,919.0,919.0,0.0032,1,36–45,Médio,1,
340000.0,Masculino,Pós-graduação,Solteiro,32,-1,-1,-1,-1,-1,-1,3048.0,5550.0,23337.0,4291.0,80153.0,25820.0,5713.0,23453.0,4314.0,80552.0,25949.0,2016.0,0,23699.83,23666.17,0.0697,0,26–35,Baixo,1,
20000.0,Masculino,Graduação,Solteiro,24,0,0,2,0,0,0,14619.0,17216.0,16642.0,16976.0,17332.0,18543.0,2850.0,0.0,610.0,630.0,1500.0,0.0,0,16888.0,931.67,0.8444,1,Até 25,Alto,0,3.0
50000.0,Masculino,Ensino Médio,Solteiro,25,-1,0,0,0,0,0,42838.0,37225.0,36087.0,9636.0,9590.0,10030.0,1759.0,1779.0,320.0,500.0,1000.0,1000.0,0,24234.33,1059.67,0.4847,0,Até 25,Baixo,0,
300000.0,Feminino,Pós-graduação,Casado,45,-1,-1,-1,-1,-1,-1,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,291.0,0,291.0,291.0,0.001,0,36–45,Baixo,1,
30000.0,Feminino,Graduação,Solteiro,22,0,0,0,0,0,0,28387.0,29612.0,30326.0,28004.0,26446.0,6411.0,1686.0,1400.0,560.0,3000.0,1765.0,0.0,1,24864.33,1401.83,0.8288,0,Até 25,Alto,0,
240000.0,Feminino,Graduação,Solteiro,44,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,36–45,Médio,1,
470000.0,Feminino,Ensino Médio,Outros,33,0,0,0,0,0,0,165254.0,157784.0,162702.0,69923.0,29271.0,29889.0,6400.0,7566.0,3000.0,960.0,1000.0,3000.0,0,102470.5,3654.33,0.218,0,26–35,Baixo,1,
360000.0,Feminino,Pós-graduação,Solteiro,26,0,0,0,0,0,-1,23411.0,27796.0,30400.0,33100.0,180000.0,196.0,4796.0,3400.0,3100.0,146900.0,196.0,2963.0,0,49150.5,26892.5,0.1365,0,26–35,Baixo,1,
60000.0,Masculino,Ensino Médio,Solteiro,30,0,0,0,0,0,0,26324.0,27471.0,28108.0,21993.0,19899.0,19771.0,1576.0,1213.0,648.0,768.0,1140.0,0.0,1,23927.67,890.83,0.3988,0,26–35,Baixo,0,
400000.0,Feminino,Graduação,Casado,44,0,0,2,0,0,0,131595.0,139060.0,126819.0,104430.0,104990.0,94058.0,10700.0,3.0,3050.0,3000.0,3200.0,2800.0,0,116825.33,3792.17,0.2921,1,36–45,Médio,2,
50000.0,Feminino,Ensino Médio,Solteiro,49,0,0,0,0,0,0,48909.0,47863.0,21489.0,20414.0,19342.0,19482.0,1676.0,1302.0,700.0,699.0,849.0,826.0,0,29583.17,1008.67,0.5917,0,46–55,Médio,0,
160000.0,Masculino,Graduação,Solteiro,33,0,0,0,0,0,0,130028.0,107808.0,71934.0,118418.0,118407.0,120418.0,4400.0,3547.0,80000.0,4500.0,4800.0,4500.0,0,111168.83,16957.83,0.6948,0,26–35,Médio,0,
360000.0,Feminino,Pós-graduação,Casado,45,-1,-1,2,0,-1,-1,390.0,1170.0,780.0,390.0,390.0,390.0,1170.0,0.0,0.0,390.0,390.0,390.0,1,585.0,390.0,0.0016,1,36–45,Médio,1,
160000.0,Feminino,Graduação,Solteiro,32,0,0,0,0,0,-1,3826.0,4751.0,6604.0,8604.0,7072.0,766.0,1147.0,2000.0,2000.0,0.0,766.0,2303.0,0,5270.5,1369.33,0.0329,0,26–35,Baixo,1,
130000.0,Feminino,Pós-graduação,Casado,35,0,0,0,-1,-1,-1,81313.0,117866.0,17740.0,1330.0,7095.0,1190.0,40000.0,5000.0,1330.0,7095.0,1190.0,2090.0,0,37755.67,9450.83,0.2904,0,26–35,Baixo,1,
20000.0,Masculino,Ensino Médio,Solteiro,44,2,2,0,0,0,2,8583.0,8303.0,9651.0,10488.0,12314.0,11970.0,0.0,1651.0,1000.0,2000.0,0.0,1500.0,0,10218.17,1025.17,0.5109,3,36–45,Alto,3,
200000.0,Masculino,Pós-graduação,Casado,53,2,2,2,2,2,2,138180.0,140774.0,142460.0,144098.0,147124.0,149531.0,6300.0,5500.0,5500.0,5500.0,5000.0,5000.0,1,143694.5,5466.67,0.7185,6,46–55,Alto,3,
280000.0,Feminino,Pós-graduação,Solteiro,39,-1,-1,-1,0,0,-2,7524.0,0.0,3968.0,3868.0,0.0,0.0,0.0,3968.0,0.0,0.0,0.0,0.0,0,2560.0,661.33,0.0091,0,36–45,Baixo,1,2.0
100000.0,Feminino,Pós-graduação,Solteiro,27,-2,-2,-2,-2,-2,-2,-2000.0,5555.0,0.0,0.0,0.0,0.0,7555.0,0.0,0.0,0.0,0.0,0.0,0,592.5,1259.17,0.0059,0,26–35,Baixo,1,2.0
160000.0,Feminino,Graduação,Casado,37,-1,-1,-1,-1,-1,-2,880.0,1602.0,840.0,840.0,0.0,0.0,1602.0,840.0,840.0,0.0,0.0,7736.0,0,693.67,1836.33,0.0043,0,36–45,Baixo,1,
60000.0,Feminino,Graduação,Solteiro,23,0,0,0,0,0,0,45648.0,46850.0,47214.0,19595.0,19209.0,19323.0,1937.0,1301.0,682.0,690.0,816.0,835.0,0,32973.17,1043.5,0.5496,0,Até 25,Médio,0,
90000.0,Masculino,Graduação,Solteiro,35,0,0,0,0,0,0,83725.0,85996.0,87653.0,35565.0,30942.0,30835.0,3621.0,3597.0,1179.0,1112.0,1104.0,1143.0,0,59119.33,1959.33,0.6569,0,26–35,Médio,0,
360000.0,Masculino,Pós-graduação,Casado,43,-1,-1,-1,-1,-1,0,3967.0,8322.0,3394.0,6451.0,26370.0,9956.0,8339.0,3394.0,12902.0,27000.0,0.0,68978.0,0,9743.33,20102.17,0.0271,0,36–45,Baixo,1,2.0
150000.0,Masculino,Pós-graduação,Solteiro,27,0,0,0,0,0,0,86009.0,86108.0,89006.0,89775.0,87725.0,40788.0,4031.0,10006.0,3266.0,4040.0,1698.0,800.0,0,79901.83,3973.5,0.5327,0,26–35,Médio,0,
50000.0,Feminino,Ensino Médio,Casado,22,0,0,0,0,0,0,18722.0,18160.0,16997.0,13150.0,8866.0,7899.0,1411.0,1194.0,379.0,281.0,321.0,197.0,0,13965.67,630.5,0.2793,0,Até 25,Baixo,0,
20000.0,Masculino,Graduação,Casado,38,0,0,0,0,0,-1,17973.0,19367.0,19559.0,18240.0,17928.0,150.0,1699.0,1460.0,626.0,1750.0,150.0,0.0,1,15536.17,947.5,0.7768,0,36–45,Médio,0,3.0
140000.0,Masculino,Pós-graduação,Solteiro,32,-2,-2,-2,-2,-2,-2,672.0,10212.0,850.0,415.0,100.0,1430.0,10212.0,850.0,415.0,100.0,1430.0,0.0,0,2279.83,2167.83,0.0163,0,26–35,Baixo,1,
380000.0,Feminino,Pós-graduação,Solteiro,30,-2,-2,-1,0,0,0,-81.0,-303.0,32475.0,32891.0,33564.0,34056.0,223.0,33178.0,1171.0,1197.0,1250.0,5000.0,0,22100.33,7003.17,0.0582,0,26–35,Baixo,1,
480000.0,Masculino,Pós-graduação,Casado,63,0,0,0,2,2,0,422069.0,431342.0,479432.0,487066.0,471145.0,469961.0,16078.0,55693.0,17000.0,0.0,18000.0,24200.0,0,460169.17,21828.5,0.9587,2,Acima de 55,Alto,2,
50000.0,Feminino,Ensino Médio,Solteiro,22,0,0,0,0,0,0,44698.0,42254.0,38347.0,32496.0,23477.0,24094.0,1767.0,1362.0,1002.0,840.0,995.0,904.0,1,34227.67,1145.0,0.6846,0,Até 25,Médio,0,
60000.0,Feminino,Graduação,Solteiro,26,2,2,2,2,2,0,56685.0,55208.0,59175.0,60218.0,55447.0,55305.0,0.0,5000.0,2511.0,6.0,3000.0,3000.0,0,57006.33,2252.83,0.9501,5,26–35,Alto,3,
70000.0,Feminino,Graduação,Solteiro,24,-1,-1,-2,-2,-2,-1,5580.0,0.0,0.0,0.0,0.0,26529.0,0.0,0.0,0.0,0.0,26529.0,2000.0,0,5351.5,4754.83,0.0764,0,Até 25,Baixo,1,
80000.0,Feminino,Graduação,Casado,36,-1,-1,-1,-1,-1,-1,6108.0,2861.0,3277.0,3319.0,1150.0,1150.0,2861.0,3279.0,3319.0,1150.0,1150.0,1035.0,0,2977.5,2132.33,0.0372,0,36–45,Baixo,1,
